2022001, 20, 14, 25, 22
2022002, 11, 3, 30, 23
2022003, 12, 7, 28, 19
2022004, 13, 14, 11, 26
2022005, 14, 5, 22, 26
2022006, 15, 13, 25, 21
2022007, 26, 12, 25, 24
2022008, 17, 13, 23, 18
2022009, 18, 13, 25, 16
2022010, 27, 7, 28, 13
2022011, 10, 13, 20, 6
2022012, 11, 3, 30, 23
2022013, 12, 7, 28, 19
2022014, 13, 4, 9, 15
2022015, 14, 5, 25, 24
2022016, 5, 7, 18, 10
2022017, 26, 12, 25, 24
2022018, 17, 13, 23, 18
2022019, 8, 3, 5, 15
2022020, 27, 11, 28, 13
2022021, 29, 14, 29, 24
2022022, 10, 11, 12, 13
2022023, 1, 2, 3, 4
2022024, 12, 10, 15, 15
2022025, 20, 15, 25, 20
2022026, 17, 10, 23, 21
2022027, 20, 10, 21, 17
2022028, 8, 7, 18, 15
2022029, 29, 0, 29, 20
2022030, 14, 13, 27, 22
